Year,Barrio,GeoCode,Value
2019,Atalaya,860743,0.0063
2019,Costillares,860744,0.0066
2019,Palomas,860745,0.0058
2019,Piovera,860746,0.0058
2019,Canillas,860747,0.007
2019,Pinar del Rey,860748,0.0076
2019,Apóstol Santiago,860749,0.0073
2019,Valdefuentes,860750,0.0062
2019,Villaverde Alto. C.H. Villaverde,860751,0.0103
2019,San Cristóbal,860752,0.0116
2019,Butarque,860753,0.0091
2019,Los Rosales,860754,0.0097
2019,Los Ángeles,860755,0.0098
2019,Casco Histórico de Vallecas,860756,0.0095
2019,Santa Eugenia,860757,0.0082
2019,Ensanche de Vallecas,860758,0.0078
2019,Casco Histórico de Vicálvaro,860759,0.0092
2019,Valdebernardo,860760,0.0076
2019,Valderrivas,860761,0.0067
2019,El Cañaveral,860762,0.0074
2019,Simancas,860763,0.0085
2019,Hellín,860764,0.0093
2019,Amposta,860765,0.0097
2019,Arcos,860766,0.0086
2019,Rosas,860767,0.0071
2019,Rejas,860768,0.0074
2019,Canillejas,860769,0.0085
2019,El Salvador,860770,0.0071
2019,Alameda de Osuna,860771,0.0056
2019,Aeropuerto,860772,0.0074
2019,Casco Histórico de Barajas,860773,0.0072
2019,Timón,860774,0.0061
2019,Corralejos,860775,0.0053
2018,San Diego,860725,0.0121
2018,Entrevías,860724,0.0119
2018,Numancia,860729,0.0116
2018,San Cristóbal,860752,0.0116
2018,Portazgo,860728,0.0116
2018,Palomeras Sureste,860727,0.0111
2018,Palomeras Bajas,860726,0.0108
2018,Pradolongo,860723,0.0106
2018,San Isidro,860712,0.0104
2018,San Andrés,860751,0.0103
2018,Puerta Bonita,860714,0.0103
2018,Almendrales,860720,0.0103
2018,Zofio,860722,0.0102
2018,Vista Alegre,860713,0.0101
2018,Abrantes,860716,0.0101
2018,Orcasur,860718,0.0101
2018,Moscardó,860721,0.01
2018,Amposta,860765,0.0099
2018,San Fermín,860719,0.0099
2018,Opañel,860711,0.0098
2018,Comillas,860710,0.0098
2018,Los Ángeles,860755,0.0098
2018,Los Rosales,860754,0.0098
2018,Hellín,860764,0.0096
2018,Orcasitas,860717,0.0096
2018,Puerta del Angel,860704,0.0094
2018,Cármenes,860703,0.0094
2018,Lucero,860705,0.0093
2018,Ambroz,860760,0.0092
2018,Buenavista,860715,0.0092
2018,Butarque,860753,0.0091
2018,Almenara,860679,0.009
2018,Aluche,860706,0.0089
2018,Las Águilas,860709,0.0089
2018,Casco Histórico de Vallecas,860756,0.0089
2018,Arcos,860766,0.0088
2018,Canillejas,860769,0.0088
2018,Simancas,860763,0.0088
2018,Berruguete,860681,0.0088
2018,Campamento,860707,0.0088
2018,Valdeacederas,860680,0.0087
2018,Embajadores,860646,0.0086
2018,Bellas Vistas,860676,0.0086
2018,Fontarrón,860734,0.0086
2018,Quintana,860738,0.0085
2018,Pueblo Nuevo,860737,0.0084
2018,Ventas,860736,0.0084
2018,Santa Eugenia,860757,0.0083
2018,Cuatro Vientos,860708,0.0082
2018,Vinateros,860735,0.0081
2018,Media Legua,860733,0.0081
2018,Casco Histórico de Vicálvaro,860759,0.008
2018,Sol,860650,0.0079
2018,Pavones,860730,0.0079
2018,Universidad,860649,0.0079
2018,Cortes,860647,0.0078
2018,Palacio,860645,0.0078
2018,Concepción,860739,0.0078
2018,Pinar del Rey,860748,0.0078
2018,Rejas,860768,0.0077
2018,Aeropuerto,860772,0.0077
2018,Cuatro Caminos,860677,0.0076
2018,Castillejos,860678,0.0076
2018,Chopera,860653,0.0076
2018,San Pascual,860740,0.0076
2018,Marroquina,860732,0.0075
2018,Pilar,860691,0.0075
2018,Justicia,860648,0.0075
2018,Casco Histórico de Barajas,860773,0.0075
2018,Palos de Moguer,860656,0.0074
2018,Apóstol Santiago,860749,0.0074
2018,Horcajo,860731,0.0073
Year,Barrio,GeoCode,Value
2018,Salvador,860770,0.0073
2018,Rosas,860767,0.0073
2018,El Pardo,860688,0.0072
2018,Canillas,860747,0.0072
2018,Valverde,860693,0.0071
2018,Valdezarza,860699,0.0071
2018,Peñagrande,860690,0.007
2018,San Juan Bautista,860741,0.007
2018,Colina,860742,0.007
2018,Delicias,860655,0.0069
2018,Atocha,860657,0.0068
2018,Imperial,860651,0.0067
2018,Acacias,860652,0.0067
2018,Costillares,860744,0.0067
2018,Casa de Campo,860696,0.0066
2018,Atalaya,860743,0.0066
2018,Ciudad Jardín,860672,0.0065
2018,La Paz,860692,0.0064
2018,Prosperidad,860671,0.0064
2018,Fuente del Berro,860666,0.0064
2018,Arapiles,860683,0.0064
2018,Gaztambide,860682,0.0063
2018,Trafalgar,860684,0.0063
2018,Valdefuentes,860750,0.0063
2018,Adelfas,860659,0.0063
2018,Timón,860774,0.0062
2018,Guindalera,860667,0.0062
2018,Argüelles,860697,0.0062
2018,Ríos Rosas,860686,0.0062
2018,Legazpi,860654,0.0062
2018,Lista,860668,0.0062
2018,Pacífico,860658,0.0062
2018,Goya,860665,0.0062
2018,Ibiza,860661,0.0061
2018,Fuentelarreina,860689,0.006
2018,Ciudad Universitaria,860698,0.006
2018,Mirasierra,860694,0.006
2018,Piovera,860746,0.006
2018,Palomas,860745,0.006
2018,El Goloso,860695,0.0059
2018,Almagro,860685,0.0059
2018,Castilla,860675,0.0059
2018,Vallehermoso,860687,0.0058
2018,Alameda de Osuna,860771,0.0058
2018,Castellana,860669,0.0058
2018,Hispanoamérica,860673,0.0057
2018,Estrella,860660,0.0057
2018,Aravaca,860702,0.0057
2018,Jerónimos,860662,0.0056
2018,Recoletos,860664,0.0056
2018,Nueva España,860674,0.0055
2018,Niño Jesús,860663,0.0055
2018,El Plantío,860701,0.0055
2018,El Viso,860670,0.0054
2018,Valdemarín,860700,0.0054
2018,Corralejos,860775,0.0054
